country,year,value
AGO,2023,84824654481.7249
AGO,2022,104399746853.401
AGO,2021,66505129987.7235
AGO,2020,48501561203.5686
AGO,2019,70897962732.0277
AGO,2018,79450688259.3664
AGO,2017,73690154990.7312
AGO,2016,52761617225.9253
AGO,2015,90496420506.5957
AGO,2014,135966802586.713
AGO,2013,132339109040.232
AGO,2012,128052915766.343
AGO,2011,111789747670.59
AGO,2010,83799474069.7315
AGO,2009,70307196181.6539
AGO,2008,88538665084.8634
AGO,2007,65266415494.2584
AGO,2006,52381025141.4268
AGO,2005,36970900883.8109
AGO,2004,23552057679.4994
AGO,2003,17812704586.4397
AGO,2002,15285592370.374
AGO,2001,8936079117.73136
AGO,2000,9129594970.15301
