country,year,exports,imports,gdp,net_exports
AGO,1980,,,5930503400.96263,
AGO,1981,,,5550483035.96497,
AGO,1982,,,5550483035.96497,
AGO,1983,,,5784341596.36339,
AGO,1984,,,6131475065.17815,
AGO,1985,,,7554065410.121,
AGO,1986,,,7072536108.69711,
AGO,1987,,,8084412414.26566,
AGO,1988,,,8769836768.83482,
AGO,1989,,,10201780976.6696,
AGO,1990,,,11229515599.3048,
AGO,1991,,,10603784541.197,
AGO,1992,,,8307810973.58848,
AGO,1993,,,5768720421.61367,
AGO,1994,,,4438321017.39068,
AGO,1995,,,5538749259.94714,
AGO,1996,,,7526446605.51712,
AGO,1997,,,7648377412.83277,
AGO,1998,,,6506229607.29432,
AGO,1999,,,6152923310.44546,
AGO,2000,,,9129594970.15301,
AGO,2001,,,8936079117.73136,
AGO,2002,8725779778.62591,7370215354.13328,15285592370.374,1355564424.49263
AGO,2003,9676099609.87075,8831519471.79368,17812704586.4397,844580138.0770702
AGO,2004,13749775665.02,10645433208.9363,23552057679.4994,3104342456.0837
AGO,2005,24225651509.9701,15181987450.0371,36970900883.8109,9043664059.933
AGO,2006,33245117538.7161,16320510961.119,52381025141.4268,16924606577.5971
AGO,2007,44319670720.5054,26207262174.5562,65266415494.2584,18112408545.949203
AGO,2008,64168423018.915,43286269730.1256,88538665084.8634,20882153288.7894
AGO,2009,41310610391.3885,44777840385.4964,70307196181.6539,-3467229994.1079025
AGO,2010,51572807437.8831,35682251333.2141,83799474069.7315,15890556104.668999
AGO,2011,67822781239.1048,43947410303.4287,111789747670.59,23875370935.676094
AGO,2012,71632968360.9542,45919732961.7043,128052915766.343,25713235399.249893
AGO,2013,67158241199.6324,47727897153.9588,132339109040.232,19430344045.6736
AGO,2014,60770402473.2912,47096036033.19,135966802586.713,13674366440.101196
AGO,2015,26926846081.4949,29985009888.782,90496420506.5957,-3058163807.2871017
AGO,2016,14838933358.413,13320025154.0847,52761617225.9253,1518908204.3283005
AGO,2017,21373167719.7176,17134965573.2132,73690154990.7312,4238202146.504402
AGO,2018,32444713329.5102,20293075111.1607,79450688259.3664,12151638218.349499
AGO,2019,28919814315.7895,12080150067.4291,70897962732.0277,16839664248.360401
AGO,2020,18583150428.118,13399763093.6897,48501561203.5686,5183387334.428301
AGO,2021,31753057845.2236,17769653734.8388,66505129987.7235,13983404110.3848
AGO,2022,46344761973.8705,26412539213.2023,104399746853.401,19932222760.668198
AGO,2023,34656621950.2738,22211258770.9641,84824654481.7249,12445363179.309704
